Session ID	Session Type	Process ID	Process	User Name	Create Time

N/A	-	4	System	-	2025-04-01 22:10:38.000000 UTC
N/A	-	124	Registry	-	2025-04-01 22:10:34.000000 UTC
N/A	-	452	smss.exe	-	2025-04-01 22:10:38.000000 UTC
0	-	556	csrss.exe	/SYSTEM	2025-04-01 22:10:43.000000 UTC
0	-	656	wininit.exe	/SYSTEM	2025-04-01 22:10:43.000000 UTC
0	-	800	services.exe	/SYSTEM	2025-04-01 22:10:43.000000 UTC
0	-	824	lsass.exe	/SYSTEM	2025-04-01 22:10:43.000000 UTC
0	-	936	svchost.exe	WORKGROUP/DESKTOP-JV996VQ$	2025-04-01 22:10:44.000000 UTC
0	-	960	fontdrvhost.ex	Font Driver Host/UMFD-0	2025-04-01 22:10:44.000000 UTC
0	-	508	svchost.exe	WORKGROUP/DESKTOP-JV996VQ$	2025-04-01 22:10:44.000000 UTC
0	-	648	svchost.exe	WORKGROUP/DESKTOP-JV996VQ$	2025-04-01 22:10:44.000000 UTC
0	-	1040	svchost.exe	WORKGROUP/DESKTOP-JV996VQ$	2025-04-01 22:10:44.000000 UTC
0	-	1060	svchost.exe	AUTORITE NT/SERVICE LOCAL	2025-04-01 22:10:44.000000 UTC
0	-	1168	svchost.exe	AUTORITE NT/SERVICE LOCAL	2025-04-01 22:10:44.000000 UTC
0	-	1196	svchost.exe	WORKGROUP/DESKTOP-JV996VQ$	2025-04-01 22:10:45.000000 UTC
0	-	1220	svchost.exe	AUTORITE NT/SERVICE LOCAL	2025-04-01 22:10:45.000000 UTC
0	-	1348	svchost.exe	WORKGROUP/DESKTOP-JV996VQ$	2025-04-01 22:10:45.000000 UTC
0	-	1356	svchost.exe	AUTORITE NT/SERVICE LOCAL	2025-04-01 22:10:45.000000 UTC
0	-	1404	svchost.exe	WORKGROUP/DESKTOP-JV996VQ$	2025-04-01 22:10:45.000000 UTC
0	-	1484	svchost.exe	AUTORITE NT/SERVICE LOCAL	2025-04-01 22:10:45.000000 UTC
0	-	1516	svchost.exe	WORKGROUP/DESKTOP-JV996VQ$	2025-04-01 22:10:45.000000 UTC
0	-	1576	VBoxService.ex	WORKGROUP/DESKTOP-JV996VQ$	2025-04-01 22:10:45.000000 UTC
0	-	1648	svchost.exe	WORKGROUP/DESKTOP-JV996VQ$	2025-04-01 22:10:45.000000 UTC
0	-	1724	svchost.exe	WORKGROUP/DESKTOP-JV996VQ$	2025-04-01 22:10:45.000000 UTC
0	-	1732	svchost.exe	AUTORITE NT/SERVICE LOCAL	2025-04-01 22:10:45.000000 UTC
0	-	1744	svchost.exe	WORKGROUP/DESKTOP-JV996VQ$	2025-04-01 22:10:45.000000 UTC
0	-	1800	rundll32.exe	WORKGROUP/DESKTOP-JV996VQ$	2025-04-01 22:10:45.000000 UTC
0	-	1860	svchost.exe	WORKGROUP/DESKTOP-JV996VQ$	2025-04-01 22:10:45.000000 UTC
0	-	1936	svchost.exe	AUTORITE NT/SERVICE LOCAL	2025-04-01 22:10:45.000000 UTC
0	-	1956	svchost.exe	AUTORITE NT/SERVICE LOCAL	2025-04-01 22:10:45.000000 UTC
0	-	1988	svchost.exe	AUTORITE NT/SERVICE LOCAL	2025-04-01 22:10:45.000000 UTC
0	-	2000	svchost.exe	WORKGROUP/DESKTOP-JV996VQ$	2025-04-01 22:10:45.000000 UTC
0	-	1944	svchost.exe	AUTORITE NT/SERVICE LOCAL	2025-04-01 22:10:45.000000 UTC
0	-	2228	svchost.exe	AUTORITE NT/SERVICE LOCAL	2025-04-01 22:10:45.000000 UTC
0	-	2240	svchost.exe	AUTORITE NT/SERVICE LOCAL	2025-04-01 22:10:45.000000 UTC
0	-	2248	svchost.exe	WORKGROUP/DESKTOP-JV996VQ$	2025-04-01 22:10:45.000000 UTC
0	-	2256	svchost.exe	AUTORITE NT/SERVICE LOCAL	2025-04-01 22:10:45.000000 UTC
0	-	2440	svchost.exe	WORKGROUP/DESKTOP-JV996VQ$	2025-04-01 22:10:45.000000 UTC
0	-	2564	spoolsv.exe	WORKGROUP/DESKTOP-JV996VQ$	2025-04-01 22:10:46.000000 UTC
0	-	2604	svchost.exe	AUTORITE NT/SERVICE LOCAL	2025-04-01 22:10:46.000000 UTC
0	-	2712	svchost.exe	WORKGROUP/DESKTOP-JV996VQ$	2025-04-01 22:10:46.000000 UTC
0	-	2920	svchost.exe	AUTORITE NT/SERVICE LOCAL	2025-04-01 22:10:46.000000 UTC
0	-	2928	svchost.exe	WORKGROUP/DESKTOP-JV996VQ$	2025-04-01 22:10:46.000000 UTC
0	-	2940	svchost.exe	WORKGROUP/DESKTOP-JV996VQ$	2025-04-01 22:10:46.000000 UTC
0	-	2948	svchost.exe	WORKGROUP/DESKTOP-JV996VQ$	2025-04-01 22:10:46.000000 UTC
0	-	2956	svchost.exe	AUTORITE NT/SERVICE LOCAL	2025-04-01 22:10:46.000000 UTC
0	-	2984	svchost.exe	AUTORITE NT/SERVICE LOCAL	2025-04-01 22:10:46.000000 UTC
0	-	2996	svchost.exe	WORKGROUP/DESKTOP-JV996VQ$	2025-04-01 22:10:46.000000 UTC
0	-	3012	MpDefenderCore	WORKGROUP/DESKTOP-JV996VQ$	2025-04-01 22:10:46.000000 UTC
0	-	3024	svchost.exe	WORKGROUP/DESKTOP-JV996VQ$	2025-04-01 22:10:46.000000 UTC
0	-	2040	MsMpEng.exe	WORKGROUP/DESKTOP-JV996VQ$	2025-04-01 22:10:46.000000 UTC
0	-	1816	svchost.exe	WORKGROUP/DESKTOP-JV996VQ$	2025-04-01 22:10:46.000000 UTC
0	-	2064	svchost.exe	WORKGROUP/DESKTOP-JV996VQ$	2025-04-01 22:10:46.000000 UTC
0	-	3084	svchost.exe	AUTORITE NT/SERVICE LOCAL	2025-04-01 22:10:46.000000 UTC
0	-	3108	svchost.exe	WORKGROUP/DESKTOP-JV996VQ$	2025-04-01 22:10:46.000000 UTC
0	-	3452	svchost.exe	WORKGROUP/DESKTOP-JV996VQ$	2025-04-01 22:10:47.000000 UTC
0	-	3696	dllhost.exe	WORKGROUP/DESKTOP-JV996VQ$	2025-04-01 22:10:48.000000 UTC
0	-	3856	SearchIndexer.	WORKGROUP/DESKTOP-JV996VQ$	2025-04-01 22:10:49.000000 UTC
0	-	3908	svchost.exe	AUTORITE NT/SERVICE LOCAL	2025-04-01 22:10:49.000000 UTC
0	-	3172	svchost.exe	WORKGROUP/DESKTOP-JV996VQ$	2025-04-01 22:10:50.000000 UTC
0	-	908	svchost.exe	WORKGROUP/DESKTOP-JV996VQ$	2025-04-01 22:10:50.000000 UTC
0	-	3480	svchost.exe	AUTORITE NT/SERVICE LOCAL	2025-04-01 22:10:51.000000 UTC
0	-	4316	AggregatorHost	WORKGROUP/DESKTOP-JV996VQ$	2025-04-01 22:10:52.000000 UTC
0	-	4720	svchost.exe	WORKGROUP/DESKTOP-JV996VQ$	2025-04-01 22:10:52.000000 UTC
0	-	4960	svchost.exe	AUTORITE NT/SERVICE LOCAL	2025-04-01 22:10:53.000000 UTC
0	-	5108	svchost.exe	AUTORITE NT/SERVICE LOCAL	2025-04-01 22:10:53.000000 UTC
0	-	5148	svchost.exe	WORKGROUP/DESKTOP-JV996VQ$	2025-04-01 22:10:54.000000 UTC
0	-	5352	svchost.exe	WORKGROUP/DESKTOP-JV996VQ$	2025-04-01 22:10:57.000000 UTC
